1111465.6100,1112140.0000,1111260.0000,1111382.0000,1567950660
1111382.0000,1112158.9800,1111342.1700,1111677.4600,1567950720
1111677.4600,1111697.4596,1111301.0000,1111407.5600,1567950780
1111383.9800,1111636.9900,1110121.0200,1110561.0407,1567950840
1110779.6700,1111063.4100,1110478.0400,1111063.4100,1567950900
1111089.2300,1111504.0000,1110659.4085,1111329.0300,1567950960
1111108.0075,1111287.0300,1110512.5900,1110698.2800,1567951020
1110701.4000,1110722.6100,1110149.7300,1110311.4993,1567951080
1110335.6930,1110335.6930,1109293.5240,1109468.0000,1567951140
1109468.0000,1110075.8329,1109044.9400,1109680.0000,1567954800
1109801.2500,1109831.0000,1108919.6300,1109467.3000,1567951320
1109646.7860,1110092.8638,1109366.7805,1109562.1600,1567951380
1109449.0100,1109873.0000,1109223.4900,1109791.4100,1567951440
1109752.2700,1110073.2909,1109600.2900,1109697.7300,1567951500
1109716.4822,1109751.2653,1109332.0000,1109466.1817,1567951560
1109462.2595,1111225.7000,1109462.2595,1110748.6720,1567951620
1110709.8700,1111205.0000,1110640.2256,1111200.2965,1567951680
1111188.4800,1111200.6907,1110593.0000,1110677.0925,1567951740
1110677.0925,1111215.7000,1110383.2000,1111096.4300,1567951800
1111096.4300,1111179.5700,1110562.0000,1110562.0000,1567951860
1110562.0000,1111167.0000,1109713.0000,1111123.0000,1567951920
1111126.0000,1112050.0000,1110969.4000,1111823.8700,1567951980
1111762.0000,1112050.0000,1111436.7700,1111755.9900,1567952040
1111747.9000,1112054.6700,1110978.9500,1111696.5816,1567952100
1111696.5816,1112147.0800,1111430.2100,1112008.7080,1567952160
1112005.0000,1112206.0000,1111455.0000,1112086.4800,1567952220
1112114.4800,1112686.7128,1112075.0000,1112423.7100,1567952280
1112634.7200,1113000.0000,1112455.0000,1112750.1700,1567952340
1112626.0000,1113507.0000,1112311.0800,1113010.1100,1567952400
1113099.8500,1113192.5172,1112267.1000,1112517.2942,1567952460
1112627.3441,1113279.0000,1112251.0000,1112919.5000,1567952520
1112935.0000,1113163.8500,1112482.0000,1112714.0800,1567952580
1112537.5599,1114899.0000,1112520.5599,1114074.6000,1567952640
1114020.6000,1114660.0000,1113620.0000,1114022.0000,1567952700
1113826.0000,1114899.0000,1113805.5900,1114683.0491,1567952760
1114713.0000,1116177.0000,1113484.0000,1113858.3900,1567952820
1113834.5400,1115997.0000,1112976.0000,1114515.2800,1567952880
1114520.0000,1114834.9300,1113936.0000,1114134.3100,1567952940
1114126.6400,1114275.5090,1113395.0000,1114241.5100,1567953000
1114096.0500,1114126.9900,1112477.9900,1112917.0620,1567953060
1112786.1100,1113092.0000,1112436.7500,1113082.5151,1567953120
1113160.9600,1114241.0000,1113134.3400,1113746.3500,1567953180
1113746.3500,1114152.0728,1113376.0000,1113876.2000,1567953240
1113860.3072,1114066.8800,1113189.0000,1113350.4780,1567953300
1113331.1400,1113807.5100,1113189.0000,1113710.6281,1567953360
1113660.0387,1113716.0000,1113116.0000,1113497.9777,1567953420
1113499.7600,1114655.0000,1113499.7600,1114134.8000,1567953480
1114156.1859,1115141.0000,1114134.8000,1114782.1600,1567953540
1114782.1600,1115309.8600,1114585.0100,1114660.0100,1567953600
1114660.0100,1114884.9039,1114134.8000,1114408.9000,1567953660
1114477.5373,1114944.9000,1113801.9000,1113801.9000,1567953720
1113801.9000,1115035.1000,1113375.9617,1115035.1000,1567953780
1115035.1000,1115103.4100,1114551.0100,1114717.6500,1567953840
1114707.9700,1115490.1403,1114235.0000,1114483.2160,1567953900
1114446.0000,1114634.2000,1113418.9200,1113773.0000,1567953960
1113499.0000,1114261.8900,1113418.9200,1113418.9200,1567954020
1113418.9200,1113905.0000,1113183.8265,1113761.0123,1567954080
1113776.6821,1114247.0600,1113379.0800,1113736.0810,1567954140
1113665.7400,1114067.1600,1113013.8128,1113445.0000,1567954200
1113445.0000,1113738.9300,1112800.0000,1113288.6580,1567954260
1113209.6782,1113506.0000,1113159.0500,1113239.0000,1567954320
1113235.3760,1113550.9000,1113060.0000,1113428.7500,1567954380
1113549.8000,1113770.1380,1113237.0226,1113268.0000,1567954440
1113371.2781,1114407.5072,1113371.2781,1114406.6729,1567954500
1114406.5060,1115009.0000,1114107.6700,1115009.0000,1567954560
1114898.1600,1115160.0000,1114126.9927,1114126.9927,1567954620
1114273.6350,1114359.0000,1113758.0000,1113827.9400,1567954680
1113913.3806,1114398.9900,1113690.0000,1114391.0000,1567954740
1114398.9900,1114498.5100,1113454.0000,1113767.0000,1567958400
1113767.0000,1113772.1500,1112279.0000,1112279.1000,1567954920
1112279.1100,1112527.9000,1111515.0000,1111771.4200,1567954980
1111771.4200,1112999.0000,1111544.0000,1112600.6300,1567955040
1112534.0000,1113309.0000,1111877.0000,1112112.0000,1567955100
1112112.0000,1112906.6406,1111538.0000,1112887.0600,1567955160
1112887.0600,1113032.8500,1112119.0000,1112711.0000,1567955220
1112731.9900,1113005.8200,1112682.6485,1112910.4053,1567955280
1112833.1200,1113096.2400,1112367.6993,1112573.7358,1567955340
1112565.0000,1112624.5267,1111841.0000,1111841.1000,1567955400
1111841.0000,1112543.9000,1111788.1200,1112327.4600,1567955460
1112205.1093,1112422.6400,1111538.7700,1112196.9100,1567955520
1112168.1600,1112295.0000,1111198.2100,1111555.0360,1567955580
1111790.0000,1112379.0000,1111656.0830,1112094.0000,1567955640
1112230.9000,1112478.1100,1111666.8962,1111943.7900,1567955700
1111994.8700,1111994.8700,1111124.4300,1111318.3200,1567955760
